B_index,POSCAR_index,x_A,y_A,z_A,coordination_B,n_ring_3,n_ring_4,n_ring_5,n_ring_6,n_ring_7,n_ring_8
359,413,4.662199,15.343838,18.031858,6,5,0,0,4,0,0
360,414,5.916413,16.212460,15.490352,6,5,0,0,5,0,0
361,415,5.462881,14.769246,9.426807,6,5,0,1,2,0,0
362,416,0.752952,13.368957,18.636276,4,1,0,0,0,1,0
363,417,5.294694,13.505933,18.484930,6,5,0,0,5,0,0
364,418,2.520523,8.446739,16.338879,6,5,0,0,3,2,0
365,419,2.399156,13.728047,18.357902,5,3,0,0,0,1,0
366,420,0.150635,13.214531,16.959951,5,3,0,0,3,1,0
367,421,2.717645,9.208774,18.090412,6,5,0,0,2,2,1
368,422,3.529521,12.408177,18.360855,6,5,0,0,3,0,0
369,423,4.415300,9.396499,18.273673,6,5,0,0,4,0,0
370,424,3.827554,13.875686,17.274106,6,5,0,0,4,1,0
371,425,3.796676,9.559214,12.091359,5,3,0,0,4,0,0
372,426,4.668555,15.097657,12.812777,6,5,0,0,3,0,0
373,427,2.819433,9.193224,13.441851,6,5,0,1,4,0,0
374,428,6.537820,12.744702,17.805580,6,5,0,0,5,0,0
375,429,0.638193,16.151631,11.660991,6,5,0,0,3,0,0
376,430,5.227193,13.129908,10.643130,6,5,0,0,4,0,0
377,431,0.614094,15.534695,13.426319,6,5,0,0,5,0,0
378,432,3.202248,15.296773,14.253332,6,5,0,0,4,0,0
379,433,0.331503,14.557478,10.820021,6,5,0,0,2,0,0
380,434,1.109348,11.289077,11.382340,7,6,0,0,5,0,0
381,435,2.709960,11.138956,12.410680,6,5,0,0,6,0,0
382,436,5.421979,8.553703,17.146688,6,5,0,0,5,0,0
383,437,6.260368,11.608804,10.235768,6,5,0,0,6,0,0
384,438,2.342068,10.096369,16.296917,6,5,0,1,1,0,1
385,439,0.986997,12.817053,15.325453,5,3,0,0,6,1,0
386,440,5.025013,9.284151,15.275119,6,5,0,0,5,0,0
387,441,6.184696,11.049185,13.082861,6,5,0,0,5,0,0
388,442,3.646199,10.960705,17.385978,6,5,0,0,3,0,0
389,443,5.434716,9.385083,12.288007,6,5,0,0,4,0,0
390,444,4.924237,15.363616,14.501133,6,5,0,0,5,0,0
391,445,3.830218,10.803197,15.673111,6,5,0,0,5,0,0
392,446,5.219341,12.365480,13.494407,6,5,0,0,5,0,0
393,447,2.342851,13.465609,14.458055,7,6,1,0,4,1,0
394,448,3.361760,9.292277,15.256691,6,5,0,1,4,0,0
395,449,3.333367,12.529710,12.966850,6,5,0,0,6,0,0
396,450,4.613726,13.384754,12.127704,6,5,0,0,4,0,0
397,451,5.813014,13.856366,13.269654,6,5,0,0,5,0,0
398,452,3.587059,14.044192,15.590452,6,5,0,0,4,1,0
399,453,3.765998,12.527260,14.833000,6,5,0,0,5,0,0
400,454,2.961821,14.261757,12.671857,6,5,1,0,2,0,0
401,455,5.380671,13.349738,15.069225,6,5,0,0,5,0,0
402,456,5.168587,10.104834,16.898759,6,5,0,0,5,0,0
403,457,1.547886,14.605164,11.957288,6,5,1,0,2,0,0
404,458,1.176572,10.260837,13.402953,6,5,0,2,2,0,0
405,459,6.052446,9.349877,14.038398,6,5,0,0,5,0,0
406,460,0.470974,12.996132,11.558621,6,5,0,0,5,0,0
407,461,6.354058,11.282823,16.973622,6,5,0,0,5,0,0
408,462,6.762452,10.625029,11.490545,6,5,0,0,6,0,0
409,463,6.535637,12.609130,15.999709,6,5,0,0,5,0,0
410,464,0.036004,11.695241,15.864955,5,4,0,0,3,0,1
411,465,6.892594,13.276129,10.228411,6,5,0,0,6,0,0
412,466,2.462349,9.363952,9.766707,5,3,0,1,0,0,0
413,467,1.061595,10.887177,14.994963,5,2,0,2,4,0,1
414,468,0.523528,13.857150,13.631159,7,6,1,0,6,0,0
415,469,7.099234,9.037704,11.063235,7,6,0,0,3,0,0
416,470,7.249159,15.378292,16.641105,6,5,0,0,5,0,0
417,471,0.077581,9.998593,12.225815,6,5,0,1,2,0,0
418,472,7.962700,11.115043,12.672486,6,5,0,0,5,0,0
419,473,7.928766,10.495146,17.130490,6,5,0,0,5,0,0
420,474,12.570991,14.681556,12.342183,6,5,0,0,5,0,0
421,475,8.684347,13.402322,14.270507,6,5,0,0,5,0,0
422,476,10.949307,14.856797,15.539976,6,5,0,0,5,0,0
423,477,10.370662,15.790944,16.949076,6,5,0,0,5,0,0
424,478,9.042405,11.700006,18.160640,6,5,0,0,5,0,0
425,479,12.817694,11.771712,13.582360,6,5,0,0,6,0,0
426,480,7.459618,14.309899,13.103916,6,5,0,0,5,0,0
427,481,13.562859,13.630378,11.166553,6,5,0,0,5,0,0
428,482,11.877387,12.019458,15.554930,6,5,0,0,5,0,0
429,483,9.906293,13.249290,11.548091,6,5,0,1,4,0,0
430,484,10.820698,15.238533,18.369060,6,5,0,0,4,0,0
431,485,13.712131,13.221935,13.285317,6,5,0,0,6,0,0
432,486,9.468103,15.032388,11.268016,7,6,0,1,5,0,0
433,487,7.491373,11.427845,18.682360,6,5,0,0,5,0,0
434,488,8.538616,15.308212,13.885374,6,5,0,0,5,0,0
435,489,13.247448,10.321177,13.488211,5,3,0,1,2,0,0
436,490,8.102436,15.517385,12.016673,6,5,0,0,4,0,0
437,491,8.878199,13.057087,17.076710,6,5,0,0,5,0,0
438,492,11.863031,10.404811,16.544279,5,3,0,0,4,0,0
439,493,10.494575,11.015023,15.715572,6,5,0,0,5,0,0
440,494,13.632617,15.578718,11.035606,6,5,0,0,5,0,0
441,495,13.490019,14.338447,16.979321,6,5,0,0,3,0,0
442,496,10.623873,10.052170,14.004918,6,5,0,0,5,0,0
443,497,8.191094,13.754961,11.278810,6,5,0,0,6,0,0
444,498,8.231436,8.291449,12.510291,6,5,0,0,3,0,0
445,499,11.488590,9.896647,9.578612,5,4,0,0,0,0,0
446,500,8.650457,16.264179,16.512813,6,5,0,0,5,0,0
447,501,9.690485,8.273527,18.033506,6,5,0,0,5,0,0
448,502,14.467063,10.553880,18.744643,3,1,0,0,0,0,2
449,503,7.609048,10.376648,14.157462,6,5,0,0,5,0,0
450,504,9.931250,8.254017,16.445832,6,5,0,0,5,0,0
451,505,13.427393,10.791323,15.247738,6,4,0,1,4,0,0
452,506,8.588996,12.674795,12.627689,6,5,0,0,5,0,0
453,507,8.182858,12.835352,15.631473,6,5,0,0,5,0,0
454,508,13.517881,15.937154,16.792029,5,3,0,1,2,0,0
455,509,11.618206,8.882537,13.438061,7,6,0,0,3,0,0
456,510,8.026653,13.136884,18.453094,6,5,0,0,5,0,0
457,511,10.376872,14.076283,17.057862,6,5,0,0,5,0,0
458,512,9.925405,10.409574,10.114278,6,5,0,0,4,0,0
459,513,7.604842,13.927250,16.831241,6,5,0,0,5,0,0
460,514,8.446169,8.953861,17.047170,6,5,0,0,5,0,0
461,515,13.678225,16.042270,12.857475,6,5,0,0,5,0,0
462,516,11.063317,9.316715,15.557530,5,3,0,0,5,0,0
463,517,10.202191,13.323192,13.249590,6,5,0,0,5,0,0
464,518,10.084842,14.844166,13.939103,6,5,0,0,5,0,0
465,519,11.769360,10.677059,18.358707,5,3,0,0,4,0,0
466,520,13.048663,10.994461,9.755297,6,4,0,1,2,0,0
467,521,9.073352,11.474542,16.381516,6,5,0,0,5,0,0
468,522,10.491308,12.462958,10.147608,7,6,0,1,4,0,0
469,523,11.954045,13.658597,16.012147,6,5,0,0,5,0,0
470,524,12.502325,12.712826,10.199609,6,5,0,0,5,0,0
471,525,12.820376,14.930891,15.546165,6,5,0,0,5,0,0
472,526,11.625631,11.199393,10.922918,6,5,0,0,4,0,0
473,527,14.298864,9.968770,10.308299,6,4,0,1,2,0,0
474,528,14.598136,11.867348,17.945760,5,3,0,0,2,0,1
475,529,14.645011,8.542787,11.429933,5,4,1,0,0,0,0
476,530,13.265146,14.783112,13.823712,6,5,0,0,5,0,0
477,531,12.743543,15.383578,18.324791,6,4,0,2,0,0,0
478,532,9.796931,15.986787,12.737076,6,5,0,0,4,0,0
479,533,11.694635,10.702398,12.645136,6,5,0,0,4,0,0
480,534,8.692936,9.761808,11.407912,6,5,0,0,4,0,0
481,535,10.901179,11.808166,14.006532,6,5,0,0,5,0,0
482,536,8.979674,9.918008,13.503150,6,5,0,0,5,0,0
483,537,10.871458,14.672147,12.275761,6,5,0,0,5,0,0
484,538,7.762470,8.752544,14.072330,6,5,0,0,5,0,0
485,539,12.087653,13.816179,18.004933,6,5,0,0,4,0,0
486,540,7.390041,11.112043,15.597142,6,5,0,0,5,0,0
