x_B,P_GPa,k,S_cc,S_cc0_M2
0.7,0,2.3500,3.892627e-01,4.080927e-01
0.7,0,2.3700,3.175983e-01,4.080927e-01
0.7,0,2.3800,3.010600e-01,4.080927e-01
0.7,0,2.4000,2.975532e-01,4.080927e-01
0.7,0,2.4200,3.003140e-01,4.080927e-01
0.7,0,2.4300,2.758613e-01,4.080927e-01
0.7,0,2.4400,2.820702e-01,4.080927e-01
0.7,0,2.4800,2.912602e-01,4.080927e-01
0.7,0,2.4900,2.888422e-01,4.080927e-01
0.7,0,2.5300,2.775783e-01,4.080927e-01
0.7,0,2.6600,2.666343e-01,4.080927e-01
0.7,0,2.6700,2.470852e-01,4.080927e-01
0.7,0,2.6900,2.323765e-01,4.080927e-01
0.7,0,2.8900,2.220338e-01,4.080927e-01
0.8,0,0.2800,6.900363e-01,1.429913e+00
0.8,0,0.5300,5.405783e-01,1.429913e+00
0.8,0,0.5500,7.201761e-01,1.429913e+00
0.8,0,0.5700,5.996879e-02,1.429913e+00
0.8,0,0.6000,2.716745e-01,1.429913e+00
0.8,0,0.6200,1.403037e-01,1.429913e+00
0.8,0,0.7600,1.939172e-01,1.429913e+00
0.8,0,0.7800,1.062416e-01,1.429913e+00
0.8,0,0.7900,5.668331e-02,1.429913e+00
0.8,0,0.8200,1.180761e-01,1.429913e+00
0.8,0,0.8500,5.761691e-02,1.429913e+00
0.8,0,0.9500,9.538508e-02,1.429913e+00
0.8,0,1.0000,9.605893e-02,1.429913e+00
0.8,0,1.0100,6.383765e-02,1.429913e+00
0.8,0,1.0600,1.304970e-01,1.429913e+00
0.8,0,1.1000,1.084428e-01,1.429913e+00
0.8,0,1.1300,9.831893e-02,1.429913e+00
0.8,0,1.1400,9.475171e-02,1.429913e+00
0.8,0,1.2000,1.098598e-01,1.429913e+00
0.8,0,1.2200,8.705308e-02,1.429913e+00
0.8,0,1.2300,9.826550e-02,1.429913e+00
0.8,0,1.2400,9.034109e-02,1.429913e+00
0.8,0,1.2500,9.475635e-02,1.429913e+00
0.8,0,1.2600,8.307519e-02,1.429913e+00
0.8,0,1.3200,1.208489e-01,1.429913e+00
0.8,0,1.3500,1.036013e-01,1.429913e+00
0.8,0,1.3600,1.127993e-01,1.429913e+00
0.8,0,1.3700,1.029554e-01,1.429913e+00
0.8,0,1.3900,1.194704e-01,1.429913e+00
0.8,0,1.4700,1.284482e-01,1.429913e+00
0.8,0,1.4900,1.236978e-01,1.429913e+00
0.8,0,1.5300,1.122420e-01,1.429913e+00
0.8,0,1.5500,1.046636e-01,1.429913e+00
0.8,0,1.5600,1.561747e-01,1.429913e+00
0.8,0,1.5800,1.146833e-01,1.429913e+00
0.8,0,1.5900,2.638925e-01,1.429913e+00
0.8,0,1.6200,1.894120e-01,1.429913e+00
0.8,0,1.6300,1.704820e-01,1.429913e+00
0.8,0,1.6500,1.435735e-01,1.429913e+00
0.8,0,1.6700,1.690931e-01,1.429913e+00
0.8,0,1.6900,1.574082e-01,1.429913e+00
0.8,0,1.7100,2.095527e-01,1.429913e+00
0.8,0,1.7300,2.476281e-01,1.429913e+00
0.8,0,1.7400,1.391960e-01,1.429913e+00
0.8,0,1.7500,1.696422e-01,1.429913e+00
0.8,0,1.7600,1.510104e-01,1.429913e+00
0.8,0,1.7800,1.902908e-01,1.429913e+00
