frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
3308,330800,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.39555250174016,4.052554721913403,7.266864307384712,1.076133472442048,-0.006941446180408484,-0.001251143374329189,0.06573811206843772
3309,330900,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.11373364544968,4.248355040798379,6.916154739601537,0.9492238650497682,-0.00715060849201965,-0.001289241848526856,0.06771280614730557
3310,331000,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.72456432426505,4.475274459978605,7.12446980745818,1.124820056828261,-0.007822650618041216,-0.00140863444185868,0.07402528274604947
3311,331100,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.55381009865407,4.11085993769979,7.419827283476835,1.023122877477445,-0.008134378168793255,-0.00146396918458791,0.07696605303539883
3312,331200,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.49000074360359,4.094770162683821,7.406458352788448,0.9887722281313174,-0.007813561303986916,-0.001406872297684103,0.07395046250498538
3313,331300,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.60097650142844,4.142454669073974,7.417465596693841,1.041056235660627,-0.007512520395374089,-0.001353799488768459,0.07111607786128715
3314,331400,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.50894903898439,4.334265065073454,7.154703777645994,1.019980196264941,-0.00772613815400458,-0.001390541720075689,0.07312560216842812
3315,331500,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.4757034301305,4.424438951069082,7.0721992175829,0.979065261478523,-0.007815813565593466,-0.001406856672394596,0.07396747442637519
3316,331600,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.67642727586758,4.349136951633034,7.310452884901991,1.016837439332549,-0.007408374288869979,-0.00133476025205681,0.07013013199199492
3317,331700,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,12.29476990424993,4.077206229651266,7.180174342783928,1.037389331814733,-0.0073390867437233,-0.001322619382584378,0.06948454120643888
