frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
2656,265600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.01989623355844,3.420981315258374,4.257847225959581,2.341067692340482,-0.007877017533285624,-0.001413956731802557,0.07440766641588326
2657,265700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.2111212577152,3.539487075140034,4.339402653693322,2.332231528881843,-0.008612999915993846,-0.001542834177680419,0.08134645722723377
2658,265800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,9.936076210838928,3.438078537172231,4.297959651502653,2.200038022164045,-0.008388650678803344,-0.001503589689226814,0.07923187081405558
2659,265900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.13584449366611,3.54816570095125,4.355590357214743,2.232088435500113,-0.007531392698700401,-0.00135120990815274,0.07115852555065061
2660,266000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.41046354772998,3.53036459785016,4.457532843354281,2.422566106525542,-0.007485778106731011,-0.001343728692312141,0.0707388111353886
2661,266100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.49506141114463,3.635005054135625,4.575615146727316,2.284441210281689,-0.008053511804949842,-0.001445040417841881,0.0760788686981968
2662,266200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.16828759438721,3.389803102464171,4.40609407189524,2.372390420027797,-0.008123340002406998,-0.001456664794595497,0.07673527661188473
2663,266300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.23218877608613,3.462963267713957,4.563393319499564,2.205832188872603,-0.007695635882774887,-0.001380908118797208,0.07271233916968001
2664,266400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.31752434701228,3.621288946609043,4.535238115722991,2.160997284680249,-0.007565111484002074,-0.00135727579962186,0.0714819839283507
2665,266500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.57179222189856,3.515748319015886,4.537695533773984,2.518348369108687,-0.007773844589606504,-0.001394355320115892,0.07344825001218069
2666,266600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.60220206332302,3.511511170967136,4.537091553624314,2.553599338731571,-0.0077775550778032,-0.00139608418552406,0.07347258675869739
2667,266700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.65249740557369,3.542338293691745,4.672166849455094,2.437992262426854,-0.007540836545776308,-0.001352450966690455,0.07124832287613359
2668,266800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.30484638928594,3.588946137423632,4.440700652115853,2.275199599746455,-0.007679326418596588,-0.001377790901985421,0.07255138616298495
2669,266900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.35272903461097,3.40510986999856,4.749588314416719,2.19803085019569,-0.007755513357726507,-0.001391010259736092,0.07327861664439794
2670,267000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.61892496958579,3.468261869037153,4.676629987198448,2.474033113350188,-0.007835429602468302,-0.001405230109430278,0.07402537758282079
2671,267100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.65888268376906,3.457437961938954,4.510832411923321,2.690612309906783,-0.007491661621861212,-0.001345562681551726,0.07078864130961193
2672,267200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.61590819579271,3.491404726584955,4.698134327805177,2.426369141402578,-0.007129108636787507,-0.001279960808131975,0.0673790491727857
2673,267300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.42277632389912,3.562376995103356,4.637361146217457,2.223038182578308,-0.007188047136579279,-0.001290388818043553,0.06792581029509037
2674,267400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.68184770003871,3.504178964635765,4.980079002537872,2.197589732865068,-0.007823275778262584,-0.001403270185274863,0.07391421852204871
2675,267500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.70748649199617,3.715819500662942,4.686693400400313,2.304973590932915,-0.008405187687950288,-0.001507578721593461,0.07939672187575297
2676,267600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.49011823353279,3.656813156898256,4.663092147683686,2.170212928950852,-0.008163902422089642,-0.001465043299557323,0.07712281865403625
2677,267700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.31539622391437,3.475025029597434,4.6610465660452,2.179324628271735,-0.007494919824752699,-0.001345295413816672,0.07082352232680833
2678,267800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.59058225918217,3.704618252265782,4.729568514944994,2.156395491971392,-0.007551662861272845,-0.001354480829673932,0.07136209936862414
2679,267900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.20232788988802,3.448438104943106,4.785566683023656,1.96832310192126,-0.008009508568067147,-0.001436743308989463,0.07567105819237341
2680,268000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,10.42848058334735,3.697503880325693,4.710510329791285,2.02046637323037,-0.007881386784425182,-0.001413299157970727,0.07446185012212325
