frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
6848,684800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.63510317060624,4.563982906431303,5.464408804249342,0.6067114599255917,-0.007211536951532871,-0.001327449690805338,0.06898151563360599
6849,684900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.50455830524414,4.580246149005654,5.309174448275719,0.6151377079627648,-0.007929890844816434,-0.001455237934289144,0.07575117845369306
6850,685000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.36645993682035,4.348291812359682,5.453683119175971,0.5644850052847007,-0.008662052459007974,-0.001586206956019964,0.08264386052765005
6851,685100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.25530982019049,4.279891365271516,5.405084199026125,0.5703342558928454,-0.00814004986590966,-0.001493145006728369,0.07772908357982544
6852,685200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.33016560340198,4.37922199572052,5.367828796207772,0.5831148114736845,-0.007240002237231202,-0.001334448003547095,0.06925572511001477
6853,685300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.39540809840098,4.513064765009715,5.321791832712678,0.5605515006785859,-0.007656136433252136,-0.001407263456759011,0.07317496936969903
6854,685400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.24853098868565,4.332899771478107,5.448936491227357,0.4666947259801816,-0.00860090610266262,-0.001575207283622149,0.08207025326729678
6855,685500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.32072342042767,4.436117774637634,5.387443795626794,0.4971618501632407,-0.008586426378118794,-0.001572098662116161,0.0819330485308285
6856,685600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.67927785905636,4.773384681422579,5.34801282453648,0.5578803530973027,-0.007835516813077703,-0.001439157536834657,0.07486210912101754
6857,685700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.82818742068835,5.154656481369305,5.134956351909628,0.5385745874094124,-0.00769513742451533,-0.001413741693413684,0.07353467133184566
6858,685800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.15218587475884,5.176641249610248,5.262499868299711,0.7130447568488768,-0.00807060425109718,-0.001481562195426278,0.07707846351338432
6859,685900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.32785985327014,5.077140760354186,5.466677881959055,0.784041210956902,-0.007781655456122749,-0.001429618619781081,0.07436094640572577
6860,686000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.07344456841583,5.170882066961981,5.246752674847518,0.6558098266063316,-0.00724276357246989,-0.001333288219653284,0.069279515263311
6861,686100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.98762501064305,5.389765763556123,5.054475114694156,0.5433841323927696,-0.007506656424710378,-0.001381445695907146,0.07176696377301894
6862,686200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,10.92882649790343,5.098089517912172,5.139495477633377,0.6912415023578804,-0.008305654304063381,-0.00152377574860374,0.079295603033394
6863,686300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.06466870179083,5.174883094257324,5.232211537291759,0.6575740702417491,-0.008444792762743347,-0.001550152778134972,0.08060165990407953
6864,686400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.30320108105045,5.08799417638527,5.506236490491897,0.7089704141732865,-0.007827305139115559,-0.001438141809369853,0.07478312075943094
6865,686500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.44238819347732,5.229183149702684,5.598878437114227,0.6143266066604111,-0.007419271299917263,-0.001365005361202876,0.07093770423684731
