frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
1877,187700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5343119022045644,0.03956883766257088,0.3246843052795155,0.170058759262478,-0.007967611636493288,-0.001421548218054625,0.07510826464949361
1878,187800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5969910609100519,0.02753557030760434,0.365299210214408,0.2041562803880396,-0.007521634786065157,-0.001342818475480456,0.0709141871678014
1879,187900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6198395034831982,0.05184122552232181,0.3050301439811061,0.2629681339797703,-0.007849579847134969,-0.001403232160100742,0.07400081659979207
1880,188000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4849527757390131,0.03942628764571963,0.2686952673346572,0.1768312207586362,-0.007764072137983469,-0.001386624141748172,0.0731910544865535
1881,188100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3252103294467729,0.06922439915974164,0.1248200520935434,0.1311658781934879,-0.007534322136592664,-0.001345245617210722,0.07103221733779463
1882,188200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3451323411463206,0.07419364935456331,0.1531700528504455,0.1177686389413118,-0.008058386108507953,-0.001438922924716479,0.07596571456105039
1883,188300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3810634962456242,0.07268548104821686,0.1329532493449259,0.1754247658524814,-0.008054262646305155,-0.001438415883001198,0.07593420655701166
1884,188400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3311821070744315,0.03271015201475552,0.1105082815832993,0.1879636734763767,-0.007663502654929211,-0.001368815356389774,0.07224506150619803
1885,188500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3846722160803207,0.03097859624490779,0.1764645045807304,0.1772291152546825,-0.007440346937876541,-0.001327920840534347,0.07015114092518715
1886,188600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.450621639810642,0.05914831547884758,0.2305959336966606,0.1608773906351338,-0.00735765854337167,-0.001312943910647846,0.06937117085462674
1887,188700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.413340344779193,0.03700776824016564,0.281052718625664,0.0952798579133633,-0.007404929141380023,-0.001322818015138338,0.0698159091407824
1888,188800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4078134895732121,0.02473799317656825,0.2819499873402992,0.1011255090563445,-0.007859777532838841,-0.001402596603284678,0.07409422764368401
1889,188900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5159210575385055,0.03686898314337187,0.3232486652441157,0.1558034091510178,-0.008124473204761173,-0.001449930017296097,0.07659328797980791
1890,189000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5161207293047723,0.03276456543257782,0.316121724706484,0.1672344391657105,-0.007821313596123147,-0.001397139438980233,0.07374641565668227
1891,189100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4659372526070653,0.05150049945985224,0.268509349871615,0.1459274032755981,-0.007693874070166196,-0.001373271952809674,0.07253660235489434
1892,189200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3772698771119248,0.03737298416521454,0.1996161818138421,0.1402807111328682,-0.007721520558708228,-0.001379342421667928,0.07280208961756429
1893,189300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4092671388546779,0.05180782620128876,0.2384073193699652,0.1190519932834239,-0.007493065229208007,-0.001339192477280093,0.0706448679213274
1894,189400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.409425476191013,0.05317879123412832,0.2336405019632449,0.1226061829936398,-0.00756032619091318,-0.001350211656397704,0.07128487070130518
1895,189500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.494991918999378,0.07693776372468124,0.2564775900896076,0.1615765651850891,-0.00790908575156557,-0.001412421023063715,0.07456220524305124
1896,189600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4166031777693497,0.07326929212280442,0.1845105200851659,0.1588233655613794,-0.008286162464027136,-0.001479817912134251,0.07811746480440362
1897,189700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.450369728129786,0.07261107873303822,0.2132783161839039,0.1644803332128439,-0.008002874940422622,-0.001428263277825081,0.07544796450544666
1898,189800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.563986762770017,0.1241306094571899,0.3237467146747399,0.1161094386380873,-0.007255372046826025,-0.001296585715923726,0.0684123277380202
1899,189900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6201101982054734,0.08834818037183879,0.3725571656997463,0.1592048521338883,-0.00742151617363529,-0.001325804283339949,0.06998016673470531
1900,190000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.673171248551437,0.08371368473532458,0.3524812457515192,0.2369763180645932,-0.008299866021804547,-0.001483121230727136,0.07824555257519705
1901,190100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5268567283286526,0.05807058511373354,0.3170747610860142,0.1517113821289048,-0.008070767738579399,-0.001441418020887042,0.0760874266583933
1902,190200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6702401276840214,0.06084625804063398,0.4145713345211782,0.1948225351222093,-0.007456970831720255,-0.001331705185677379,0.07031450189441557
1903,190300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6403202505560528,0.05926287208359083,0.4054516203287435,0.1756057581437185,-0.007862476171542454,-0.001404708063512672,0.07413332215883983
1904,190400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6233450456626941,0.07433026779828661,0.3085340873905327,0.2404806904738747,-0.008461622713258343,-0.001509754648500561,0.07976626455806723
1905,190500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.615791945444265,0.08704162651239128,0.3238486352365877,0.204901683695286,-0.008086102216577018,-0.001444357255271811,0.0762337966392046
1906,190600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.406892030908478,0.05583644518639187,0.2295686492045705,0.1214869365175156,-0.007038129120177317,-0.001256827859744902,0.06636443061966091
1907,190700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3849813761762866,0.05797632978636564,0.2280787268925124,0.09892631949740854,-0.007095578688029569,-0.001268405318624488,0.06690558431240845
1908,190800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4355421879871438,0.05237279387890877,0.1696723936142118,0.2134970004940232,-0.008339603623769953,-0.001488947158142295,0.07861986798380016
1909,190900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4288201170875849,0.04665173553605758,0.2083831083381986,0.1737852732133287,-0.008216404016170742,-0.001467413039680565,0.07746835012558151
1910,191000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3827077983398119,0.06714114889811633,0.1834651084298255,0.13210154101187,-0.007209391387840824,-0.001287896906914554,0.06798007480874446
1911,191100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5100472448017884,0.07614981157454744,0.2699370621685283,0.1639603710587127,-0.007135673627932881,-0.001275269175874172,0.06728283950151237
1912,191200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4331215298420262,0.06993783232230889,0.2333465738578187,0.1298371236618986,-0.007957895481020216,-0.001421711078318566,0.07503091961403285
1913,191300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.438695887428118,0.05618385226279182,0.2679451518643199,0.1145668833010063,-0.00817631480702552,-0.001460213103831265,0.07708567602419691
1914,191400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4559831291479169,0.06597800664292276,0.2591278497778889,0.1308772727271053,-0.007374515084017652,-0.001317499160753854,0.06953318579825662
1915,191500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4406703789111824,0.03384245178617466,0.3169819752792398,0.08984595184576799,-0.007192497455238644,-0.001284682380521929,0.06782327597057147
1916,191600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.6167741201330132,0.1050255211620785,0.3439710090178061,0.1677775899531286,-0.008394567785015461,-0.001498465714430353,0.07914642649528147
1917,191700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.654389000458015,0.07061719779860963,0.4163093562354814,0.1674624464239239,-0.008531027879998376,-0.00152267137688078,0.08042725554165386
1918,191800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.5329587220741212,0.06116957850312663,0.3754550643783298,0.09633407919266485,-0.007265117713460612,-0.001297968363941138,0.06850483528939932
1919,191900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3887023416606407,0.05349231169036958,0.2361828367821462,0.0990271931881249,-0.006850287483515238,-0.001225356438100178,0.06460576987730349
1920,192000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4449407687912836,0.09988296283592112,0.2163520571513133,0.1287057488040492,-0.007726976152342857,-0.001379796733980143,0.0728579023224043
1921,192100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3774093733242162,0.04915731633221273,0.1535061995716353,0.1747458574203682,-0.008272516083700054,-0.001477153137781073,0.07799555454598206
1922,192200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.4084287113465444,0.05379712622389132,0.1944637870321725,0.1601677980904806,-0.007997046209742287,-0.001428923811911176,0.07539755155573502
1923,192300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3616179976185233,0.06388584711665522,0.1615204375437188,0.1362117129581493,-0.007581296486931954,-0.001354612007697042,0.07148935306636162
1924,192400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3826828149234339,0.05101781314447584,0.2028052135256177,0.1288597882533404,-0.007823213457302636,-0.001397195546527286,0.07376828045291717
