True_Energy_per_atom,Pred_Energy_per_atom
-7.217435596458333,-7.216880054654086
-9.265268431458333,-9.254586989408317
-10.496612046500001,-10.49768343407974
-11.238206687749999,-11.238894258336867
-7.330483589249999,-7.341672599511663
-10.824487415,-10.821652313937523
-6.977734412499999,-6.978163222340272
-11.004616219375,-11.003630262246485
-12.5904074978125,-12.585012067398575
-7.095651212916667,-7.094265455930807
-13.41807840175,-13.419777216376398
-7.081839812291666,-7.080292194828101
-7.136730386666667,-7.136228191225111
-6.980800135208334,-6.981004828357505
-13.348428147000002,-13.350747080675845
-6.978321763333334,-6.9781032364058575
-6.338020561666667,-6.345319133502799
-6.9356946116666665,-6.934705034175354
-6.396802707083334,-6.391865425941263
-6.334360242291667,-6.323136587458769
-6.351193201041667,-6.351204296364433
-7.72536955325,-7.715558296483193
-6.300940168333334,-6.31247207110034
-8.575213881249999,-8.568700669766198
-6.98567722375,-6.985528491927158
-6.834463191249999,-6.828150959054445
-7.655593147,-7.6501866248333155
-7.007589171458334,-7.007744300336474
-6.35524596875,-6.359694450131304
-9.014923335,-9.008054636372071
-6.400459636458333,-6.399388513837683
-7.0209580943750005,-7.017924255813379
-7.0307619599999995,-7.030221234595577
-6.224573361249999,-6.234451145157197
-9.1242744155,-9.123709789677207
-6.949243781666667,-6.949091502671927
-6.2494711206249995,-6.255529376913365
-7.026399869374999,-7.027547716226973
-6.403223685416666,-6.3884627694897285
-6.992118366041667,-6.993214279095326
-6.9329866127083335,-6.931896098712379
-6.414127332916667,-6.403603814367983
-7.105450068541667,-7.104467319401938
-6.221809080833334,-6.238723138894262
-11.214828554,-11.213309455411174
-6.3456597722916674,-6.351279575192483
-13.3670860575,-13.373443547962987
-7.074864982291667,-7.073585105511046
-6.2340252722916665,-6.238360653439752
-7.090636292083333,-7.090456795217757
-6.872905094375,-6.863099636150495
-7.11068366,-7.1093147085303485
-11.967468391,-11.96675941241865
-6.986920777916667,-6.983965617793988
-7.2077479108333335,-7.206888789427151
-6.441703146666666,-6.43366505689384
-6.964567739583334,-6.9639184902271305
-6.9885740895833335,-6.989869490991688
-6.866031353125,-6.8617602533655635
-12.6214444453125,-12.616119322967254
-7.160976771041667,-7.160370125636568
-6.346269134583333,-6.344408452788205
-7.221300014583334,-7.220064324087581
-6.308556212916667,-6.302074691934371
-6.983799578125001,-6.9854317083686475
-12.176409987916665,-12.181985843079596
-9.964095682750001,-9.957979812046307
-6.875984427708333,-6.869066847028424
-11.43287164575,-11.431029289834637
-6.982464113541667,-6.9815276242665325
-7.1973025589583335,-7.196553991585135
-6.9816286652083335,-6.983805598159204
-6.301000303541667,-6.298607435280265
-6.980061583958334,-6.977331768559473
-6.351520835625,-6.34686856522231
-7.097595352916667,-7.095463376817887
-7.141550331666667,-7.1411066933290455
-6.915526363958333,-6.9097155749709485
-7.037401581458333,-7.0356861562215265
-7.09953611125,-7.09743010307012
-7.081479485,-7.079990369930749
-6.949759134375,-6.945215899045658
-7.0297198439583335,-7.030434717007849
-6.32899097875,-6.331112092831284
-8.599359676999999,-8.593775319409472
-6.301582178125,-6.310594270696449
-6.8574298250000005,-6.852841723348203
-6.227963777916667,-6.2348698872026596
-6.969922406458333,-6.97133799486024
-8.676616094,-8.667722809053107
-6.276742797083333,-6.274187226468329
-7.000237845416667,-6.998720978108953
-6.978386106666666,-6.9773090544681295
-6.914506684375,-6.910674578076127
-7.075220901041667,-7.072598677191429
-8.535569066499999,-8.528475470479485
-7.008380209583333,-7.00794095142381
-6.99122553625,-6.989939068180152
-9.379678091875,-9.375224180295293
-6.982395300833333,-6.98219145599488
-7.043608689375,-7.04518270753714
-6.949165123541667,-6.951415861607736
-6.544456415625,-6.541694367713448
-7.160036753333333,-7.157443344962608
-6.268890555208333,-6.27295819133282
-12.6579793465625,-12.65610176203497
-7.190505236458333,-7.189874283256078
-7.015911523333333,-7.017798020839037
-6.86510600375,-6.856654327358252
-7.106790089791667,-7.105950807875854
-6.2851410706249995,-6.281209363287682
-9.387807754583333,-9.38845778588284
-6.862142486458333,-6.864535309405491
-7.054355924375,-7.0548918036373705
-11.9940556975,-11.99535802078181
-9.1213196845,-9.117017295765628
-6.238012054791667,-6.244473637219137
-6.302003552291667,-6.30972530577159
-6.282914392916666,-6.28633555370804
-7.15350704375,-7.153131511673958
-6.945063889791666,-6.946154234723608
-7.004647367291667,-7.006090889289286
-7.099208446458333,-7.099083133223072
-12.15320288625,-12.147715841957174
-7.156235935624999,-7.155782286457279
-12.6474522978125,-12.64348323410285
-6.921257191666666,-6.913825289192121
-6.9911813675,-6.994201418778904
-8.604476902,-8.598185446187722
-7.017505194375,-7.015154577760851
-7.094737446875,-7.092681209725169
-6.928319994374999,-6.927471949075286
-6.276202591250001,-6.271338861568164
-7.091260546249999,-7.089818852515717
-6.228090297916666,-6.230895863180493
-6.2732217125,-6.272078359620759
-6.265820582500001,-6.2672710808193335
-7.11221049625,-7.110978864701238
-7.110862225833333,-7.109457848098398
-6.985955882708333,-6.986054952595249
-7.030777770416667,-7.031374541719156
-6.3816761345833335,-6.370375997948172
-6.216700574791666,-6.2189187232886
-6.996034095625,-6.995358876456035
-6.863484501041667,-6.861345694933228
-10.8208456040625,-10.819509011266451
-6.390834179583333,-6.3862199966312225
-6.899840386875,-6.903489471081901
-6.979448833749999,-6.979831361910954
-7.0808870031249995,-7.079157858808649
-7.003509159791666,-7.004851653874739
-6.975360114375,-6.97339926777627
-6.976073115625,-6.976136758487176
-6.27513016375,-6.277779798481858
-6.369783558333334,-6.380029392419234
-7.714528693,-7.719150198750275
-7.207253738541667,-7.205801541459849
-7.082234015416667,-7.081872546448391
-13.28197929275,-13.284055837405242
-10.99118751,-10.990124579336994
-6.379425900416667,-6.385381461040665
-6.233626361041666,-6.24244196544626
-6.953190754166666,-6.958324879811822
-6.970470110833333,-6.969989800410764
-12.16307464875,-12.164235426853189
-7.010136265625,-7.011447556500546
-7.088995291875,-7.08872013255457
-6.252111344375,-6.249495606414992
-7.007802604791666,-7.009474455429081
-7.025006301875,-7.023735902335701
-6.962418678541667,-6.967231606074822
-7.0748503183333336,-7.075192447681249
-6.3012066608333335,-6.308097747638257
-9.02286361325,-9.015890109807277
-7.083727610833333,-7.08196079405421
-6.26658009625,-6.26254509587577
-8.574512243,-8.546689247162899
-6.351174015000001,-6.353991151247571
-7.1479594422916675,-7.146340536179001
-6.331132030416666,-6.332645603543362
-6.885448818541666,-6.880530420464688
-9.97243444325,-9.96787342058585
-7.184267413000001,-7.183142127266405
-7.171298771041666,-7.17076106141912
-6.336171419999999,-6.341616036072696
-7.0578342081250005,-7.054923935906963
-6.262303651,-6.2995306799008315
-7.062735393125,-7.06094997402834
-7.715462854250001,-7.713277931705223
-6.348992905416666,-6.346777158549375
-11.19208619525,-11.195334389849961
-7.145995430416666,-7.145256755865223
-6.842114646875,-6.836760500306801
-7.183653937708333,-7.18318140820604
-6.3776298364583335,-6.38345034784169
-12.5247757209375,-12.515908315161234
-6.284351219583333,-6.278756224873089
-7.026287512916666,-7.0258555353992955
-12.6866862128125,-12.68464652117577
-6.9323462525,-6.93190000376855
-10.95443358875,-10.95633110834815
-6.965662531666666,-6.965986702335246
-7.6464730114999995,-7.636854832507277
