temperature_K,FeB2_meV_atom,FeB4_meV_atom,FeB2_eV_fu,FeB4_eV_fu
340,42.68788829943482,5.346995242421215,0.12806366489830445,0.026734976212106076
350,42.86696459767825,5.303621447588114,0.12860089379303474,0.02651810723794057
360,43.045038037670125,5.2573442062513465,0.12913511411301037,0.026286721031256732
370,43.22210977100127,5.208270218572508,0.12966632931300381,0.02604135109286254
380,43.398187282972955,5.15650525191802,0.13019456184891887,0.0257825262595901
390,43.573282290973125,5.102152378951175,0.13071984687291938,0.025510761894755873
400,43.74741068687982,5.045312703124694,0.13124223206063945,0.025226563515623468
410,43.92059075211385,4.9860839076760755,0.13176177225634156,0.024930419538380377
420,44.092843042472296,4.924561084783008,0.1322785291274169,0.02462280542391504
430,44.26418949566724,4.860835543661679,0.13279256848700172,0.024304177718308395
440,44.43465334492913,4.794995898812715,0.1333039600347874,0.023974979494063575
450,44.604258600818625,4.727127033609335,0.13381277580245587,0.023635635168046676
460,44.77302950421169,4.657310566674511,0.13431908851263508,0.023286552833372554
470,44.94099084298675,4.5856249037043995,0.13482297252896025,0.022928124518521997
480,45.10816677164975,4.512145185659122,0.13532450031494925,0.02256072592829561
490,45.2745820204985,4.436943392388315,0.1358237460614955,0.022184716961941575
500,45.44026034098181,4.360088342641788,0.13632078102294543,0.02180044171320894
510,45.60522539819267,4.281645849536275,0.13681567619457802,0.021408229247681376
520,45.769500540513874,4.201678979649515,0.13730850162154162,0.021008394898247573
530,45.93310819508112,4.120247845742497,0.13779932458524335,0.020601239228712487
540,46.09607047233766,4.037409762233324,0.13828821141701297,0.02018704881116662
550,46.25840859024066,3.9532198670304552,0.138775225770722,0.019766099335152276
560,46.420143536439085,3.8677304478760277,0.13926043060931725,0.01933865223938014
570,46.58129526215404,3.780991564196867,0.13974388578646213,0.018904957820984336
580,46.741883229177716,3.6930509434469627,0.14022564968753315,0.018465254717234814
590,46.90192620835454,3.603954292060507,0.14070577862506362,0.018019771460302536
600,47.06144242352828,3.513745243616029,0.14118432727058483,0.017568726218080144
610,47.22044949395432,3.4224653070040745,0.14166134848186296,0.017112326535020372
620,47.37896394488672,3.3301542810288964,0.14213689183466016,0.016650771405144482
630,47.53700247431247,3.2368502543747013,0.14261100742293742,0.016184251271873507
640,47.69458036953367,3.1425891392409255,0.143083741108601,0.015712945696204628
650,47.85171283147349,3.04740591503716,0.14355513849442048,0.015237029575185801
660,48.0084143413233,2.9513335401389895,0.1440252430239699,0.014756667700694948
670,48.16469903479792,2.8544036773894277,0.14449409710439376,0.014272018386947138
680,48.320580011179004,2.756646642279037,0.144961740033537,0.013783233211395185
690,48.47607048490943,2.658091351118941,0.14542821145472828,0.013290456755594704
700,48.631182662800754,2.558765528332785,0.14589354798840226,0.012793827641663924
710,48.78592863649445,2.4586956546261973,0.14635778590948334,0.012293478273130987
720,48.940319950636635,2.357907226107514,0.1468209598519099,0.01178953613053757
730,49.094367487716895,2.256424184233552,0.14728310246315068,0.01128212092116776
740,49.24808192868646,2.1542701595436142,0.14774424578605938,0.010771350797718071
750,49.40147358023239,2.0514671242874982,0.14820442074069717,0.010257335621437491
760,49.55455220204463,1.9480365843236314,0.1486636566061339,0.009740182921618157
770,49.70732709317893,1.8439988018013054,0.1491219812795368,0.009219994009006527
780,49.859807581475124,1.7393737279398636,0.14957942274442537,0.008696868639699318
790,50.01200256293359,1.6341800184243027,0.15003600768880077,0.008170900092121514
800,50.1639201850157,1.528435603438183,0.1504917605550471,0.007642178017190915
810,50.315568537618205,1.4221577913158256,0.15094670561285461,0.007110788956579128
820,50.466955624255405,1.3153634758147348,0.15140086687276622,0.006576817379073674
830,50.618088959021534,1.2080683588049368,0.1518542668770646,0.006040341794024684
840,50.768975681750206,1.1002878312247333,0.15230692704525062,0.005501439156123666
850,50.91962278832618,0.9920366103379763,0.15275886836497854,0.0049601830516898815
860,51.070037101883514,0.8833289988352533,0.15321011130565054,0.0044166449941762664
870,51.2202250137328,0.7741784184496225,0.1536606750411984,0.0038708920922481127
880,51.370192684851546,0.6645979799788648,0.15411057805455464,0.003322989899894324
890,51.5199462186402,0.55460032783472,0.1545598386559206,0.0027730016391736
900,51.6694917185081,0.4441978473170849,0.1550084751555243,0.0022209892365854245
910,51.81883445295732,0.3334017318383786,0.15545650335887196,0.0016670086591918931
920,51.96797974806522,0.22222338209232362,0.15590393924419566,0.001111116910461618
930,52.11693295871278,0.11067357692340352,0.15635079887613834,0.0005533678846170176
940,52.2656992958197,-0.00123716393396478,0.1567970978874591,-6.1858196698239e-06
950,52.41428327935793,-0.11349883896549784,0.1572428498380738,-0.0005674941948274892
960,52.56268991872837,-0.22610165393111004,0.1576880697561851,-0.0011305082696555502
970,52.71092358995233,-0.33903659191736324,0.158132770769857,-0.0016951829595868162
980,52.858988697847664,-0.4522943769043053,0.158576966093543,-0.0022614718845215265
990,53.00688947449039,-0.5658664583680917,0.15902066842347118,-0.0028293322918404584
1000,53.154630036795325,-0.679744389428194,0.15946389011038598,-0.00339872194714097
1010,53.30221415620784,-0.7939201896025594,0.15990664246862352,-0.003969600948012797
1020,53.449646093596925,-0.9083858265732658,0.16034893828079078,-0.004541929132866329
1030,53.596928958238976,-1.023134200822895,0.16079078687471693,-0.005115671004114475
1040,53.744066751898245,-1.1381576427886841,0.16123220025569474,-0.005690788213943421
1050,53.891062785375254,-1.2534492602309655,0.16167318835612576,-0.006267246301154827
1060,54.037920686173635,-1.3690020572703077,0.1621137620585209,-0.006845010286351538
1070,54.184643131725,-1.4848099189848085,0.162553929395175,-0.007424049594924043
1080,54.33123389347294,-1.6008659531365765,0.16299370168041882,-0.008004329765682883
1090,54.47769536095315,-1.7171644593769742,0.16343308608285945,-0.00858582229688487
1100,54.62403110408509,-1.8336991673209013,0.16387209331225527,-0.009168495836604507
1110,54.77024371393924,-1.950464532086471,0.1643107311418177,-0.009752322660432355
1120,54.9163358679472,-2.067454853326822,0.1647490076038416,-0.010337274266634111
1130,55.06231015717589,-2.1846649489027925,0.16518693047152766,-0.010923324744513963
1140,55.208169690908804,-2.3020892221143896,0.1656245090727264,-0.011510446110571948
1150,55.3539164268404,-2.4197230090354793,0.1660617492805212,-0.012098615045177397
1160,55.49955315756527,-2.5375610757105704,0.16649865947269582,-0.012687805378552852
1170,55.64508209988439,-2.6555989136856084,0.16693524629965317,-0.013277994568428042
1180,55.79050558576171,-2.773831859034459,0.16737151675728512,-0.013869159295172295
1190,55.93582577441758,-2.892255455124726,0.16780747732325274,-0.01446127727562363
1200,56.081045026603604,-3.010865348963776,0.1682431350798108,-0.01505432674481888
1210,56.22616544396131,-3.129657291195187,0.16867849633188392,-0.015648286455975935
1220,56.371188869029254,-3.248627291581485,0.16911356660708776,-0.016243136457907426
