P_GPa,T_K,x_B,G_second_eV_per_atom,sigma_second_eV_per_atom,lower_1sigma,upper_1sigma
0,1500,0.28200000000000003,4.499165713829358,0.6435524710467962,3.8556132427825616,5.142718184876154
0,1500,0.28300000000000003,4.531146487963223,0.6461384225353402,3.885008065427883,5.177284910498564
0,1500,0.28400000000000003,4.562746753571718,0.6488965301821176,3.9138502233896,5.211643283753835
0,1500,0.28500000000000003,4.593967503117686,0.65181484391139,3.9421526592062963,5.245782347029076
0,1500,0.28600000000000003,4.62480972906398,0.6548817077394314,3.9699280213245483,5.279691436803411
0,1500,0.28700000000000003,4.65527442387345,0.6580857784448945,3.997188645428555,5.313360202318344
0,1500,0.28800000000000003,4.685362580008938,0.6614160406906598,4.0239465393182785,5.346778620699598
0,1500,0.28900000000000003,4.715075189933301,0.6648618188337362,4.050213371099565,5.379937008767037
0,1500,0.29000000000000004,4.744413246109381,0.6684127856770665,4.076000460432314,5.412826031786447
0,1500,0.29100000000000004,4.773377741000031,0.6720589684267663,4.101318772573265,5.445436709426797
0,1500,0.29200000000000004,4.801969667068096,0.6757907521213805,4.126178914946715,5.477760419189476
0,1500,0.29300000000000004,4.830190016776428,0.6795988807973425,4.150591135979086,5.50978889757377
0,1500,0.29400000000000004,4.858039782587873,0.6834744566479455,4.174565325939928,5.541514239235819
0,1500,0.29500000000000004,4.885519956965283,0.6874089374227781,4.198111019542505,5.5729288943880615
0,1500,0.29600000000000004,4.912631532371503,0.6913941323016006,4.221237400069902,5.604025664673103
0,1500,0.29700000000000004,4.9393755012693825,0.6954221964618228,4.24395330480756,5.634797697731205
0,1500,0.29800000000000004,4.965752856121771,0.6994856245427324,4.266267231579039,5.665238480664503
0,1500,0.29900000000000004,4.991764589391518,0.7035772431930177,4.2881873461985,5.6953418325845355
0,1500,0.30000000000000004,5.017411693541467,0.70769020287134,4.309721490670127,5.725101896412807
0,1500,0.30100000000000005,5.042695161034477,0.7118179690531509,4.330877191981326,5.754513130087627
0,1500,0.30200000000000005,5.067615984333388,0.7159543129808759,4.351661671352512,5.783570297314264
0,1500,0.30300000000000005,5.09217515590105,0.7200933020792392,4.372081853821811,5.81226845798029
0,1500,0.30400000000000005,5.116373668200315,0.7242292901430044,4.392144378057311,5.840602958343319
0,1500,0.30500000000000005,5.140212513694029,0.7283569073908877,4.411855606303141,5.868569421084916
0,1500,0.30600000000000005,5.163692684845038,0.7324710504668989,4.431221634378139,5.896163735311936
0,1500,0.30700000000000005,5.186815174116196,0.7365668724589132,4.450248301657283,5.923382046575109
0,1500,0.30800000000000005,5.20958097397035,0.7406397729938548,4.468941200976495,5.950220746964204
0,1500,0.309,5.2319910768703455,0.7446853884594812,4.487305688410864,5.9766764653298265
0,1500,0.31,5.254046475279035,0.7486995823943385,4.505346892884696,6.002746057673373
0,1500,0.311,5.275748161659266,0.7526784360799412,4.523069725579324,6.028426597739207
0,1500,0.312,5.2970971284738875,0.7566182393626046,4.540478889111283,6.053715367836492
0,1500,0.313,5.318094368185748,0.7605154817265157,4.557578886459233,6.078609849912263
0,1500,0.314,5.338740873257695,0.764366843634521,4.574374029623174,6.103107716892216
0,1500,0.315,5.359037636152579,0.7681691881486773,4.590868448003902,6.127206824301257
0,1500,0.316,5.378985649333248,0.7719195528387908,4.6070660964944565,6.150905202172039
0,1500,0.317,5.398585905262548,0.775615141983875,4.622970763278673,6.174201047246424
0,1500,0.318,5.417839396403332,0.7792533190686834,4.638586077334649,6.1970927154720155
0,1500,0.319,5.436747115218446,0.7828315995750935,4.6539155156433525,6.219578714793539
0,1500,0.32,5.45531005417074,0.7863476440661664,4.668962410104573,6.2416576982369065
0,1500,0.321,5.473529205723059,0.7897992515590591,4.683729954164,6.263328457282118
0,1500,0.322,5.491405562338258,0.793184353181634,4.698221209156624,6.284589915519892
0,1500,0.323,5.508940116479181,0.7965010061065256,4.712439110372655,6.305441122585707
0,1500,0.324,5.526133860608678,0.7997473877555896,4.726386472853089,6.325881248364268
0,1500,0.325,5.542987787189596,0.8029217902669806,4.740065996922616,6.345909577456577
0,1500,0.326,5.559502888684785,0.8060226152166277,4.753480273468157,6.365525503901412
0,1500,0.327,5.5756801575570965,0.8090483685855233,4.766631788971573,6.38472852614262
0,1500,0.328,5.5915205862693735,0.8119976559640224,4.779522930305351,6.403518242233396
0,1500,0.329,5.607025167284471,0.8148691779842209,4.79215598930025,6.421894345268692
0,1500,0.33,5.622194893065234,0.8176617259714392,4.804533167093794,6.439856619036673
0,1500,0.331,5.637030756074509,0.8203741778058893,4.81665657826862,6.457404933880398
0,1500,0.332,5.651533748775147,0.8230054939856875,4.82852825478946,6.474539242760835
0,1500,0.333,5.665704863629999,0.8255547138825104,4.840150149747489,6.49125957751251
0,1500,0.334,5.679545093101911,0.8280209521813948,4.8515241409205165,6.507566045283306
0,1500,0.335,5.693055429653732,0.8304033954963738,4.8626520341573585,6.523458825150106
0,1500,0.336,5.706236865748311,0.8327012991538891,4.8735355665944216,6.5389381649022
0,1500,0.337,5.7190903938484965,0.8349139841361755,4.884176409712321,6.554004377984672
0,1500,0.338,5.731617006417136,0.8370408341770695,4.8945761722400665,6.568657840594206
0,1500,0.339,5.74381769591708,0.8390812930029838,4.9047364029140965,6.582898988920064
0,1500,0.33999999999999997,5.755693454811174,0.8410348617120582,4.914658593099116,6.596728316523231
0,1500,0.34099999999999997,5.767245275562271,0.8429010962847899,4.9243441792774805,6.610146371847061
0,1500,0.34199999999999997,5.778474150633218,0.8446796052197191,4.933794545413499,6.623153755852937
