P_GPa,T_K,x_B,G_second_eV_per_atom,sigma_second_eV_per_atom,lower_1sigma,upper_1sigma
0,1500,0.28700000000000003,4.655274423873448,0.6580857784448944,3.9971886454285537,5.313360202318342
0,1500,0.28800000000000003,4.685362580008935,0.66141604069066,4.023946539318275,5.346778620699594
0,1500,0.28900000000000003,4.715075189933297,0.6648618188337361,4.050213371099561,5.379937008767033
0,1500,0.29000000000000004,4.744413246109377,0.6684127856770664,4.076000460432311,5.412826031786444
0,1500,0.29100000000000004,4.7733777410000275,0.6720589684267664,4.101318772573261,5.445436709426794
0,1500,0.29200000000000004,4.801969667068093,0.6757907521213804,4.1261789149467125,5.477760419189473
0,1500,0.29300000000000004,4.830190016776425,0.6795988807973424,4.150591135979083,5.509788897573767
0,1500,0.29400000000000004,4.85803978258787,0.6834744566479455,4.174565325939924,5.541514239235815
0,1500,0.29500000000000004,4.88551995696528,0.687408937422778,4.198111019542502,5.572928894388058
0,1500,0.29600000000000004,4.912631532371499,0.6913941323016006,4.2212374000698984,5.6040256646731
0,1500,0.29700000000000004,4.939375501269381,0.6954221964618229,4.243953304807558,5.634797697731203
0,1500,0.29800000000000004,4.965752856121768,0.6994856245427326,4.266267231579036,5.665238480664501
0,1500,0.29900000000000004,4.991764589391514,0.7035772431930176,4.288187346198496,5.695341832584532
0,1500,0.30000000000000004,5.017411693541466,0.7076902028713398,4.309721490670126,5.725101896412806
0,1500,0.30100000000000005,5.042695161034475,0.7118179690531508,4.330877191981324,5.754513130087625
0,1500,0.30200000000000005,5.067615984333386,0.7159543129808759,4.3516616713525105,5.783570297314262
0,1500,0.30300000000000005,5.092175155901049,0.7200933020792392,4.372081853821809,5.812268457980288
0,1500,0.30400000000000005,5.116373668200311,0.7242292901430044,4.392144378057307,5.840602958343315
0,1500,0.30500000000000005,5.140212513694025,0.7283569073908877,4.4118556063031376,5.868569421084913
0,1500,0.30600000000000005,5.163692684845036,0.7324710504668989,4.431221634378137,5.8961637353119345
0,1500,0.30700000000000005,5.186815174116193,0.7365668724589132,4.45024830165728,5.923382046575106
0,1500,0.30800000000000005,5.209580973970346,0.7406397729938548,4.4689412009764915,5.950220746964201
0,1500,0.309,5.231991076870344,0.7446853884594812,4.487305688410863,5.976676465329825
0,1500,0.31,5.254046475279031,0.7486995823943384,4.505346892884693,6.002746057673369
0,1500,0.311,5.275748161659264,0.7526784360799412,4.523069725579322,6.028426597739205
0,1500,0.312,5.297097128473887,0.7566182393626046,4.540478889111282,6.0537153678364914
0,1500,0.313,5.318094368185746,0.7605154817265157,4.557578886459231,6.078609849912262
0,1500,0.314,5.338740873257693,0.764366843634521,4.574374029623172,6.1031077168922145
0,1500,0.315,5.3590376361525776,0.7681691881486773,4.5908684480039,6.127206824301255
0,1500,0.316,5.378985649333244,0.7719195528387908,4.607066096494453,6.150905202172035
0,1500,0.317,5.398585905262545,0.7756151419838749,4.62297076327867,6.174201047246419
0,1500,0.318,5.417839396403329,0.7792533190686834,4.6385860773346455,6.197092715472012
0,1500,0.319,5.436747115218442,0.7828315995750935,4.653915515643349,6.219578714793536
0,1500,0.32,5.455310054170736,0.7863476440661663,4.6689624101045695,6.241657698236903
0,1500,0.321,5.473529205723057,0.7897992515590591,4.683729954163998,6.263328457282117
0,1500,0.322,5.4914055623382545,0.7931843531816339,4.69822120915662,6.284589915519889
0,1500,0.323,5.508940116479177,0.7965010061065254,4.712439110372652,6.3054411225857026
0,1500,0.324,5.526133860608675,0.7997473877555896,4.726386472853085,6.325881248364264
0,1500,0.325,5.542987787189593,0.8029217902669809,4.7400659969226115,6.345909577456574
0,1500,0.326,5.559502888684783,0.8060226152166279,4.7534802734681545,6.365525503901411
0,1500,0.327,5.575680157557095,0.8090483685855234,4.766631788971571,6.384728526142618
0,1500,0.328,5.591520586269372,0.8119976559640225,4.779522930305349,6.403518242233394
0,1500,0.329,5.607025167284469,0.814869177984221,4.792155989300248,6.42189434526869
0,1500,0.33,5.622194893065233,0.8176617259714393,4.804533167093793,6.439856619036672
0,1500,0.331,5.637030756074507,0.8203741778058894,4.816656578268618,6.4574049338803965
0,1500,0.332,5.6515337487751465,0.8230054939856875,4.828528254789459,6.474539242760834
0,1500,0.333,5.665704863629996,0.8255547138825106,4.840150149747485,6.491259577512507
0,1500,0.334,5.679545093101908,0.8280209521813949,4.851524140920513,6.507566045283302
0,1500,0.335,5.693055429653729,0.8304033954963739,4.862652034157355,6.523458825150103
0,1500,0.336,5.706236865748307,0.8327012991538891,4.873535566594418,6.538938164902197
0,1500,0.337,5.719090393848493,0.8349139841361755,4.8841764097123175,6.554004377984668
0,1500,0.338,5.7316170064171335,0.8370408341770695,4.894576172240064,6.568657840594203
0,1500,0.339,5.743817695917077,0.839081293002984,4.904736402914093,6.582898988920061
0,1500,0.33999999999999997,5.755693454811172,0.8410348617120583,4.914658593099113,6.59672831652323
0,1500,0.34099999999999997,5.767245275562269,0.8429010962847902,4.924344179277479,6.610146371847059
0,1500,0.34199999999999997,5.778474150633217,0.8446796052197192,4.933794545413498,6.623153755852936
0,1500,0.34299999999999997,5.78938107248686,0.8463700472880343,4.9430110251988255,6.635751119774894
0,1500,0.344,5.799967033586052,0.8479721294012307,4.951994904184821,6.647939162987282
0,1500,0.345,5.81023302639364,0.8494856045862297,4.960747421807411,6.65971863097987
0,1500,0.346,5.820180043372472,0.8509102700626238,4.969269773309849,6.671090313435096
0,1500,0.347,5.8298090769853985,0.8522459654169782,4.97756311156842,6.682055042402377
0,1500,0.348,5.839121119695266,0.8534925708693586,4.985628548825908,6.692613690564624
0,1500,0.349,5.848117163964922,0.8546500056274999,4.993467158337422,6.702767169592422
0,1500,0.35,5.8567982022572185,0.8557182263242563,5.001079975932962,6.712516428581475
0,1500,0.351,5.865165227035002,0.856697225534204,5.008468001500797,6.721862452569206
0,1500,0.352,5.873219230761123,0.857587030365471,5.015632200395652,6.7308062611265935
0,1500,0.353,5.880961205898427,0.85838770112308,5.022573504775347,6.739348907021507
0,1500,0.354,5.888392144909766,0.8590993300402827,5.029292814869483,6.747491474950048
0,1500,0.355,5.895513040257985,0.8597220400745489,5.035791000183436,6.755235080332533
0,1500,0.356,5.902324884405937,0.8602559837650603,5.042068900640877,6.762580868170997
0,1500,0.357,5.908828669816469,0.8607013421487149,5.048127327667753,6.769530011965184
0,1500,0.358,5.915025388952428,0.8610583237318233,5.053967065220604,6.776083712684251
0,1500,0.359,5.920916034276663,0.8613271635148267,5.059588870761837,6.78224319779149
0,1500,0.36,5.926501598252026,0.8615081220675115,5.064993476184514,6.788009720319537
0,1500,0.361,5.93178307334136,0.8616014846523352,5.0701815886890245,6.793384557993695
0,1500,0.362,5.93676145200752,0.8616075603936189,5.075153891613901,6.798369012401139
0,1500,0.363,5.94143772671335,0.8615266814904724,5.079911045222877,6.802964408203822
0,1500,0.364,5.945812889921699,0.8613592024714565,5.084453687450242,6.807172092393156
0,1500,0.365,5.949887934095419,0.8611054994890798,5.0887824346063395,6.810993433584499
0,1500,0.366,5.953663851697354,0.8607659696523543,5.0928978820449995,6.814429821349709
0,1500,0.367,5.957141635190357,0.8603410303957266,5.09680060479463,6.817482665586084
0,1500,0.368,5.960322277037274,0.8598311188827956,5.100491158154478,6.8201533959200695
0,1500,0.369,5.963206769700955,0.8592366914433331,5.103970078257622,6.822443461144288
0,1500,0.37,5.965796105644248,0.8585582230421941,5.107237882602054,6.824354328686442
0,1500,0.371,5.968091277330002,0.8577962067788036,5.1102950705511985,6.825887484108805
0,1500,0.372,5.970093277221063,0.8569511534159738,5.11314212380509,6.827044430637037
0,1500,0.373,5.971803097780285,0.8560235909368864,5.115779506843398,6.827826688717171
0,1500,0.374,5.973221731470512,0.8550140641291418,5.118207667341371,6.828235795599654
0,1500,0.375,5.974350170754596,0.8539231341948547,5.120427036559741,6.82827330494945
0,1500,0.376,5.975189408095382,0.8527513783858256,5.122438029709556,6.827940786481207
0,1500,0.377,5.975740435955721,0.8514993896628926,5.124241046292829,6.827239825618614
0,1500,0.378,5.976004246798462,0.8501677763786164,5.125836470419846,6.826172023177079
0,1500,0.379,5.975981833086454,0.8487571619825157,5.127224671103939,6.824738995068969
0,1500,0.38,5.975674187282543,0.8472681847481155,5.128406002534428,6.822942372030658
0,1500,0.381,5.97508230184958,0.8457014975211279,5.129380804328452,6.820783799370707
0,1500,0.382,5.974207169250413,0.8440577674881273,5.130149401762285,6.81826493673854
0,1500,0.383,5.97304978194789,0.8423376759651351,5.130712105982755,6.815387457913025
0,1500,0.384,5.97161113240486,0.8405419182055662,5.131069214199293,6.812153050610426
0,1500,0.385,5.969892213084172,0.8386712032270376,5.131221009857135,6.80856341631121
0,1500,0.386,5.9678940164486765,0.8367262536565737,5.131167762792103,6.80462027010525
0,1500,0.387,5.965617534961218,0.8347078055937883,5.13090972936743,6.800325340555006
0,1500,0.388,5.963063761084648,0.8326166084916571,5.130447152592991,6.795680369576305
0,1500,0.389,5.960233687281815,0.8304534250545261,5.129780262227289,6.790687112336341
