formula,temperature_K,Fe_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Fe160B240,1500.0,160,240,0.6,0.10842986576666704,0.0006440765886203811,-3946.240764,0.235225,0.04945446173333323,0.0014837764562616903,-3668.279586,0.467661,-0.06614406880000104,0.0014837764562616903,-4015.081594,0.467661
Fe120B280,1500.0,120,280,0.7,0.19507983522777805,0.0006429885894584987,-3628.129041,0.229586,0.14551366435555566,0.0015362129708092437,-3357.989247,0.451726,0.02281482173333302,0.0015362129708092437,-3689.780817,0.451726
Fe135B405,1500.0,135,405,0.75,0.2204734501898151,0.00067263702381603,-4692.931732,0.323635,0.17834973163888931,0.0014544948700465415,-4332.044013,0.508555,0.06298290121296254,0.0014544948700465415,-4763.954216,0.508555
Fe72B288,1500.0,72,288,0.8,0.2340541108000006,0.0011131376504063281,-2996.178836,0.383598,0.19728264808888854,0.0018517339214569335,-2758.873496,0.51463,0.0931668511555554,0.0018517339214569335,-3034.730506,0.51463
Fe81B459,1500.0,81,459,0.85,0.22497024363240817,0.0011707199421074825,-4307.843621,0.605018,0.1983563071314814,0.0018621529904989885,-3954.220474,0.74684,0.10944339369074003,0.0018621529904989885,-4347.747302,0.74684
Fe54B486,1500.0,54,486,0.9,0.20765028016851964,0.002176747828936864,-4125.86648,1.159451,0.1935531921000002,0.0024620959566057665,-3773.304162,1.123009,0.11803283252222206,0.0024620959566057665,-4147.549881,1.123009
Fe324B36,1800.0,324,36,0.1,0.13211980817222202,0.0006177644678608028,-4803.355378,0.185012,0.13971831468889143,0.0015922400139657831,-4460.298303,0.433752,0.04770368832222371,0.0015922400139657831,-4948.685947,0.433752
Fe128B32,1800.0,128,32,0.2,0.07274696390000113,0.001026558088345573,-2030.917184,0.156169,0.0604246215444455,0.00217433374043616,-1886.352226,0.311378,-0.02876303429999876,0.00217433374043616,-2094.315538,0.311378
Fe252B108,1800.0,252,108,0.3,0.02114648907222324,0.0008334173494331934,-4332.973897,0.27928,-0.010719504933333547,0.001556228771877944,-4025.35287,0.447621,-0.1066699930333341,0.001556228771877944,-4476.252459,0.447621
Fe216B144,1800.0,216,144,0.4,0.01020753368889018,0.0007599401690416263,-4081.745983,0.250747,-0.03511316057777852,0.0015298712953743796,-3789.583062,0.433591,-0.1437478198222228,0.0015298712953743796,-4225.59647,0.433591
Fe200B200,1800.0,200,200,0.5,0.0551524327500016,0.000722359121062952,-4233.777646,0.25979,0.004521327111112328,0.001496918686305001,-3923.070136,0.448683,-0.13088599799999998,0.001496918686305001,-4396.624675,0.448683
Fe160B240,1800.0,160,240,0.6,0.1436159082000006,0.0006662361598671225,-3914.874547,0.22918,0.09341095063333342,0.0015991711452200137,-3615.790371,0.473886,-0.0746486583999996,0.0015991711452200137,-4080.791954,0.473886
Fe120B280,1800.0,120,280,0.7,0.23409901115000026,0.000671710796570047,-3595.163597,0.223422,0.19133599415555466,0.001639933078256234,-3304.896438,0.453558,0.006765728700000295,0.001639933078256234,-3754.888414,0.453558
Fe135B405,1800.0,135,405,0.75,0.27041568614351946,0.0006701897544269948,-4642.485398,0.293363,0.23357695577777762,0.0016504940911357372,-4255.386429,0.583115,0.04911383225000076,0.0016504940911357372,-4848.228378,0.583115
Fe72B288,1800.0,72,288,0.8,0.30117105104444464,0.0008199844282532637,-2956.335365,0.254953,0.2719749529555549,0.0018763849117904774,-2700.825245,0.481471,0.09296516191111172,0.0018763849117904774,-3084.36377,0.481471
Fe81B459,1800.0,81,459,0.85,0.3273171474268523,0.0008186878926552047,-4229.009702,0.374365,0.3056714816148138,0.0017925900417286563,-3849.628099,0.612737,0.13439675453518485,0.0017925900417286563,-4406.16959,0.612737
Fe54B486,1800.0,54,486,0.9,0.34426489473518596,0.0010275966042862814,-4028.483465,0.496542,0.3330113611999987,0.0019297621912932725,-3651.450921,0.679796,0.1718552564185184,0.0019297621912932725,-4187.938994,0.679796
Fe324B36,2000.0,324,36,0.1,0.1440848295611098,0.000720078820471065,-4788.197819,0.218119,0.15444343760555515,0.0016898520116145688,-4432.900647,0.454467,0.04145121876666593,0.0016898520116145688,-5001.883286,0.454467
Fe128B32,2000.0,128,32,0.2,0.08837137681666647,0.0010607916912726164,-2023.582811,0.159672,0.07773952987777832,0.0021565207813577496,-1873.796088,0.303112,-0.03952590368889055,0.0021565207813577496,-2117.679324,0.303112
Fe252B108,2000.0,252,108,0.3,0.04458977546110974,0.0007718525019711278,-4313.629364,0.249075,0.017507033261111044,0.0016049632747767645,-3993.252041,0.461539,-0.10651574003333243,0.0016049632747767645,-4522.638249,0.461539
Fe216B144,2000.0,216,144,0.4,0.03727338313333285,0.0010081593821752504,-4061.069928,0.341886,-0.0022876300222220733,0.002031701352094481,-3755.905264,0.649405,-0.14792839582222225,0.002031701352094481,-4271.290234,0.649405
Fe200B200,2000.0,200,200,0.5,0.07716061441666681,0.0008029464808107456,-4212.796875,0.289298,0.030080134194444667,0.001572029618268689,-3888.644459,0.50361,-0.13991794272222363,0.001572029618268689,-4446.833222,0.50361
Fe160B240,2000.0,160,240,0.6,0.15854284070000005,0.0006804802121241734,-3896.695832,0.22787,0.11214146813333344,0.0014987173336746859,-3584.183419,0.451972,-0.09514063406666765,0.0014987173336746859,-4133.081664,0.451972
Fe120B280,2000.0,120,280,0.7,0.2486979369833324,0.0006561076098441991,-3577.085641,0.206044,0.21144959707222255,0.0015589030632008648,-3272.823661,0.457226,-0.018845115411111238,0.0015589030632008648,-3806.722822,0.457226
Fe135B405,2000.0,135,405,0.75,0.2882662748009251,0.0006559562513369146,-4616.30371,0.269017,0.2562485109861124,0.0015549645414261225,-4210.765887,0.589235,0.022606490861111255,0.0015549645414261225,-4916.999514,0.589235
Fe72B288,2000.0,72,288,0.8,0.3252426499333334,0.0007903434122036613,-2936.627643,0.234182,0.2996772723999988,0.0017232326738188947,-2669.306476,0.458331,0.06746415879999985,0.0017232326738188947,-3128.72263,0.458331
Fe81B459,2000.0,81,459,0.85,0.3577715158064814,0.0007157634907789226,-4195.980874,0.290302,0.33944814862870265,0.0015985435738147661,-3799.128799,0.55795,0.11402276562777708,0.0015985435738147661,-4468.249869,0.55795
Fe54B486,2000.0,54,486,0.9,0.38841244001296216,0.0007982509505333591,-3988.039772,0.337075,0.37974586559814727,0.0016984577134099724,-3594.01339,0.601359,0.1609965576407418,0.0016984577134099724,-4243.191593,0.601359
Fe324B36,2300.0,324,36,0.1,0.15522455503888932,0.0007306473000214174,-4766.702185,0.203039,0.16769234076111109,0.0018136042919662853,-4393.391019,0.430781,0.021283789255554887,0.0018136042919662853,-5089.64236,0.430781
Fe128B32,2300.0,128,32,0.2,0.10256344838333327,0.001081934832809822,-2013.539573,0.158816,0.09431413885555476,0.002296015677551424,-1855.822184,0.309243,-0.052808069350001575,0.002296015677551424,-2154.108251,0.309243
Fe252B108,2300.0,252,108,0.3,0.06548520422777686,0.0007818140246887619,-4288.616063,0.239301,0.04161660639444323,0.0016833941577213355,-3950.363768,0.445415,-0.1257944071222236,0.0016833941577213355,-4603.446782,0.445415
Fe216B144,2300.0,216,144,0.4,0.061768670488889496,0.0008223878972180692,-4034.757871,0.256696,0.026480623933332167,0.0017653615086655361,-3711.605464,0.50381,-0.16170151642222347,0.0017653615086655361,-4346.801477,0.50381
Fe200B200,2300.0,200,200,0.5,0.09739436758333284,0.0008153402283656566,-4185.262751,0.278253,0.057460635638888674,0.0016647066318137775,-3840.272669,0.516945,-0.1661673785000005,0.0016647066318137775,-4532.04147,0.516945
Fe160B240,2300.0,160,240,0.6,0.17055375439999979,0.0006855757898783767,-3872.447725,0.20462,0.12980348706666633,0.0017108328116987124,-3539.994131,0.535873,-0.13612983280000152,0.0017108328116987124,-4220.502158,0.535873
Fe120B280,2300.0,120,280,0.7,0.25893530121666686,0.0007068905395042911,-3553.543835,0.199775,0.22584698849444465,0.0015925455854297241,-3230.235333,0.45339,-0.07012791210000045,0.0015925455854297241,-3894.577096,0.45339
Fe135B405,2300.0,135,405,0.75,0.3030709885138894,0.0006642427698754856,-4582.053798,0.219065,0.2757687908749993,0.0015415105638641126,-4150.704483,0.548617,-0.030442539250001305,0.0015415105638641126,-5034.07008,0.548617
Fe72B288,2300.0,72,288,0.8,0.34294357997777764,0.0007925932675860326,-2912.750327,0.20414,0.3222903746444438,0.0018569634022637764,-2628.284923,0.507786,0.015388699155554757,0.0018569634022637764,-3204.761542,0.507786
Fe81B459,2300.0,81,459,0.85,0.38298634921944474,0.0007708502089129702,-4156.105287,0.272116,0.37072118804351756,0.001786873946177696,-3733.119302,0.682512,0.06208298200555402,0.001786873946177696,-4579.748502,0.682512
Fe54B486,2300.0,54,486,0.9,0.42057400642407394,0.0008027566218885113,-3944.410844,0.278977,0.4159347597759262,0.001731499583826359,-3525.54853,0.602271,0.1133153722629627,0.001731499583826359,-4349.904113,0.602271
