formula,temperature_K,Fe_count,B_count,x_B,Average_PV_eV,Average_PV_err_eV,PV_eV_per_atom,PV_err_eV_per_atom,PV_norm_eV_per_atom,PV_norm_err_eV_per_atom
Fe72B288,1800.0,72,288,0.8,172.101047,0.388162,0.4780584638888889,0.0010782277777777777,-0.029872090466666713,0.0015450846987322335
Fe81B459,1800.0,81,459,0.85,253.944151,0.448917,0.4702669462962963,0.0008313277777777778,-0.022984971206481457,0.001433272875046115
Fe54B486,1800.0,54,486,0.9,251.565237,0.40171,0.46586155,0.0007439074074074074,-0.012711730649999971,0.001438263888126602
Fe324B36,2000.0,324,36,0.1,262.215759,0.347937,0.7283771083333334,0.0009664916666666666,0.009605776561111086,0.0013453345412628125
Fe128B32,2000.0,128,32,0.2,108.728282,0.221315,0.6795517624999999,0.0013832187500000001,-0.009537689044444509,0.0016263045092786306
Fe252B108,2000.0,252,108,0.3,227.590314,0.340654,0.6321953166666667,0.0009462611111111112,-0.027212254649999976,0.0012364100863283326
Fe216B144,2000.0,216,144,0.4,212.211448,0.331802,0.5894762444444445,0.0009216722222222222,-0.04024944664444451,0.001196027284500244
Fe200B200,2000.0,200,200,0.5,220.895861,0.374327,0.5522396525,0.0009358175000000001,-0.047804158361111106,0.001204338800543281
Fe160B240,2000.0,160,240,0.6,209.200284,0.349262,0.52300071,0.000873155,-0.04736122063333333,0.0011733402680393274
Fe120B280,2000.0,120,280,0.7,201.069285,0.373904,0.5026732125,0.0009347600000000001,-0.03800683790555553,0.0012544833079090553
Fe135B405,2000.0,135,405,0.75,266.073946,0.444016,0.49272952962962957,0.0008222518518518519,-0.03310958066203703,0.0011983750404252842
Fe72B288,2000.0,72,288,0.8,174.523543,0.36163,0.48478761944444443,0.0010045277777777778,-0.02621055073333333,0.00135669700171021
Fe81B459,2000.0,81,459,0.85,257.575237,0.467629,0.47699117962962967,0.0008659796296296297,-0.01916605043425916,0.001290159306675478
Fe54B486,2000.0,54,486,0.9,254.754706,0.419897,0.47176797407407406,0.0007775870370370371,-0.009548315875925925,0.0012703405403454778
Fe324B36,2300.0,324,36,0.1,266.500205,0.329672,0.7402783472222222,0.0009157555555555556,0.012249999361111069,0.0013776267724051549
Fe128B32,2300.0,128,32,0.2,110.476014,0.227603,0.6904750875000001,0.00142251875,-0.0072040882222222154,0.0017056042665335599
Fe252B108,2300.0,252,108,0.3,231.548051,0.301888,0.6431890305555555,0.0008385777777777778,-0.024140973027777807,0.0012128783753883726
Fe216B144,2300.0,216,144,0.4,215.871637,0.34711,0.599643436111111,0.0009641944444444444,-0.03733739533333341,0.001279032073785648
Fe200B200,2300.0,200,200,0.5,226.406753,0.361898,0.5660168825,0.000904745,-0.04061477680555562,0.0012325836279374746
Fe160B240,2300.0,160,240,0.6,213.711357,0.451986,0.5342783925,0.001129965,-0.0420040946666667,0.0014240865362069436
Fe120B280,2300.0,120,280,0.7,204.555097,0.407583,0.5113877425,0.0010189575,-0.03454557252777786,0.001376965698744992
Fe135B405,2300.0,135,405,0.75,271.217142,0.481328,0.5022539666666667,0.0008913481481481481,-0.028504762291666663,0.0013139870357552139
Fe72B288,2300.0,72,288,0.8,177.795541,0.437759,0.4938765027777777,0.0012159972222222223,-0.021707640111111183,0.0015808301272705106
Fe81B459,2300.0,81,459,0.85,262.664617,0.575205,0.48641595740740745,0.0010651944444444443,-0.01399359941203705,0.0015024453623723674
Fe54B486,2300.0,54,486,0.9,258.699434,0.526946,0.47907302592592593,0.0009758259259259259,-0.00616194482407411,0.0014802977043317312
