route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.80000000e-01,7.05637906e-02,8.47915863e-03,-1.03103286e-02,1.72092375e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,7.90000000e-01,6.97062853e-02,8.07644094e-03,-1.05761322e-02,1.86661692e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.00000000e-01,6.69708433e-02,7.95287603e-03,-9.90039622e-03,1.69253048e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.10000000e-01,8.11291362e-02,9.62334633e-03,-1.20778387e-02,2.00017978e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.20000000e-01,8.16361563e-02,9.50160336e-03,-1.24108640e-02,2.09765975e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.30000000e-01,8.19978842e-02,9.65338852e-03,-1.23222755e-02,2.04632495e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.40000000e-01,7.07118847e-02,8.44393503e-03,-1.03739279e-02,1.77579739e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.50000000e-01,7.46861169e-02,8.70590709e-03,-1.12712170e-02,1.96437582e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.60000000e-01,7.32405655e-02,8.64105489e-03,-1.09045394e-02,1.87933236e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.70000000e-01,7.54723080e-02,8.89540738e-03,-1.12671242e-02,1.92667575e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.80000000e-01,6.86737783e-02,8.14822051e-03,-1.01231683e-02,1.76975845e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,8.90000000e-01,8.23597379e-02,9.59461028e-03,-1.24852154e-02,2.13071086e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.00000000e-01,7.91906562e-02,9.37694630e-03,-1.17532701e-02,2.00751431e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,9.10000000e-01,7.48301271e-02,8.93571251e-03,-1.09702680e-02,1.88547951e-02,,335,last0.5,SUPERCELL.dump
