formula,temperature_K,Fe_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Fe54B486,1200.0,54,486,0.9,0.10176907418703851,0.0005797641669085864,-4203.14182,0.266833,0.10283958729444377,0.001338217371894262,-4119.405042,0.466617,0.05717583488518459,0.001338217371894262,-4380.532199,0.466617
Fe324B36,1500.0,324,36,0.1,0.13015543598333354,0.0006710060239414904,-4811.193694,0.216856,0.13155771757222065,0.00131496914832916,-4741.453523,0.36145,0.05407021308333305,0.00131496914832916,-5136.114723,0.36145
Fe128B32,1500.0,128,32,0.2,0.06822716902222226,0.000972709428555907,-2035.10961,0.149337,0.06842270975555564,0.0018149133424954298,-2004.329434,0.26126,-0.004690142999999836,0.0018149133424954298,-2171.397074,0.26126
Fe252B108,1500.0,252,108,0.3,0.01702891594999932,0.0008259073957604844,-4342.936746,0.282013,0.018232676938889844,0.0013246948897348396,-4273.368739,0.388933,-0.05791801852777591,0.0013246948897348396,-4633.180417,0.388933
Fe216B144,1500.0,216,144,0.4,0.00398282537777719,0.0009084436457553753,-4093.142091,0.313333,0.00487937884444452,0.0014092648079486378,-4023.735027,0.423668,-0.08152361211111206,0.0014092648079486378,-4370.053396,0.423668
Fe200B200,1500.0,200,200,0.5,0.055936309805556444,0.0007462033221033694,-4244.38621,0.278279,0.05750985463888924,0.0012957351727140606,-4167.052396,0.402202,-0.054979843750001006,0.0012957351727140606,-4543.191783,0.402202
Fe160B240,1500.0,160,240,0.6,0.15034654006666698,0.000661617062163508,-3923.854065,0.237988,0.1527916662666672,0.0012643393757472933,-3846.227561,0.360085,0.011297838499999671,0.0012643393757472933,-4214.875116,0.360085
Fe120B280,1500.0,120,280,0.7,0.22801516282777812,0.0007433947852582002,-3610.018563,0.268965,0.2298947028944451,0.0014610068460528137,-3532.674236,0.433157,0.08431265824999969,0.0014610068460528137,-3883.863594,0.433157
Fe135B405,1500.0,135,405,0.75,0.2555368042083341,0.0006847367818714719,-4667.794938,0.323012,0.25811755125462915,0.0013875496939135784,-4563.039206,0.49976,0.1177505895138876,0.0013875496939135784,-5021.440593,0.49976
Fe72B288,1500.0,72,288,0.8,0.20027964364444542,0.004013223897540145,-3004.510246,1.43923,0.20167368924444481,0.004170031459032158,-2935.125478,1.448978,0.09365778300000077,0.004170031459032158,-3220.487955,1.448978
