r_A g_B_B g_B_Fe g_Fe_Fe
2.790000000000000036e+00 8.087227927641531533e-01 5.149108277749858686e-01 1.733448910846036473e+00
2.810000000000000053e+00 8.648259556335760045e-01 5.103339046143750002e-01 1.675047793941760066e+00
2.830000000000000071e+00 9.227130243237359197e-01 4.971877299423668739e-01 1.617783551108705531e+00
2.849999999999999645e+00 9.856528994342086403e-01 4.931854120361885419e-01 1.542134323182783096e+00
2.870000000000000107e+00 1.030438705894952012e+00 4.845033435816272216e-01 1.484066487777254251e+00
2.889999999999999680e+00 1.092774169188558187e+00 4.828964933185145303e-01 1.393878891305829759e+00
2.910000000000000142e+00 1.143214521917642834e+00 4.897540733352053755e-01 1.347850139392160695e+00
2.929999999999999716e+00 1.192819859822492390e+00 4.903301089591382556e-01 1.297474002506108004e+00
2.950000000000000178e+00 1.243536263536215491e+00 4.977319302114945887e-01 1.214417488102727871e+00
2.969999999999999751e+00 1.283786064011019246e+00 5.092437339211436376e-01 1.162524682130054776e+00
2.990000000000000213e+00 1.322635573615526861e+00 5.202798854128780626e-01 1.107704887613951028e+00
3.009999999999999787e+00 1.357395528354910619e+00 5.274999516936791366e-01 1.058825313186737560e+00
3.030000000000000249e+00 1.398267027124065809e+00 5.460166714500634955e-01 9.973984397066518737e-01
3.049999999999999822e+00 1.422692877975032522e+00 5.596852672893868341e-01 9.663321535243273308e-01
3.070000000000000284e+00 1.428328735313443731e+00 5.844920846183806473e-01 9.446718040275274841e-01
3.089999999999999858e+00 1.451659458002588110e+00 6.051248935198058065e-01 8.773992967229976569e-01
3.110000000000000320e+00 1.466375409726293544e+00 6.298847187727705244e-01 8.450657151646913112e-01
3.129999999999999893e+00 1.463245899258122984e+00 6.611009433543711955e-01 8.044455470480429415e-01
3.150000000000000355e+00 1.460540830645858490e+00 6.981644951975979341e-01 7.756029258263005266e-01
3.169999999999999929e+00 1.450701728713689187e+00 7.189140716596079672e-01 7.427487977160573962e-01
3.190000000000000391e+00 1.444973338775662031e+00 7.564521557777880156e-01 7.024805271343211865e-01
3.209999999999999964e+00 1.431313616803753241e+00 7.992055541960125797e-01 6.781290798711407941e-01
3.230000000000000426e+00 1.400903679914093702e+00 8.376753712103908178e-01 6.688570115950560613e-01
3.250000000000000000e+00 1.384824360795257947e+00 8.732914099898785310e-01 6.386751800284830027e-01
3.270000000000000462e+00 1.354327438856363086e+00 9.103632209510481577e-01 6.150767491587563196e-01
3.290000000000000036e+00 1.328962538932698445e+00 9.582011813817523649e-01 6.215041871397003481e-01
3.310000000000000497e+00 1.303920392208915757e+00 9.937383557413501656e-01 5.982188887752327711e-01
3.330000000000000071e+00 1.286860029131990268e+00 1.025212669708736035e+00 6.047269754133687281e-01
3.349999999999999645e+00 1.245805098323767179e+00 1.066329312075471103e+00 6.102005914720506352e-01
3.370000000000000107e+00 1.215544921300623749e+00 1.101885928959449368e+00 5.997896255254822062e-01
3.389999999999999680e+00 1.193964523366996433e+00 1.132282621421160318e+00 5.935506000467414278e-01
3.410000000000000142e+00 1.162944215277644133e+00 1.160728106085239686e+00 6.001084104789287110e-01
3.429999999999999716e+00 1.142108795210788896e+00 1.190925412777747106e+00 5.989466075964015035e-01
3.450000000000000178e+00 1.121926205085540085e+00 1.205148354009869305e+00 6.085927629368265146e-01
3.469999999999999751e+00 1.099766341822680848e+00 1.224808692136248212e+00 6.150802588420997141e-01
3.490000000000000213e+00 1.069538522206340936e+00 1.236578396725231510e+00 6.451727919531637934e-01
3.509999999999999787e+00 1.055675075143457375e+00 1.251153870482692776e+00 6.616909881037600361e-01
3.530000000000000249e+00 1.029151978705862724e+00 1.249788169813047523e+00 6.925455225233924095e-01
3.549999999999999822e+00 1.010302618007045128e+00 1.264665065564442470e+00 7.244745558871612534e-01
