x_B,P_GPa,k,S_cc_KBI,S_cc0_KBI
0.7,0,0.6443,1.350772e-01,1.356066e-01
0.7,0,0.6644,1.352743e-01,1.356066e-01
0.7,0,0.6846,1.355086e-01,1.356066e-01
0.7,0,0.7047,1.357830e-01,1.356066e-01
0.7,0,0.7248,1.361005e-01,1.356066e-01
0.7,0,0.7450,1.364639e-01,1.356066e-01
0.7,0,0.7651,1.368764e-01,1.356066e-01
0.7,0,0.7852,1.373410e-01,1.356066e-01
0.7,0,0.8054,1.378605e-01,1.356066e-01
0.7,0,0.8255,1.384381e-01,1.356066e-01
0.7,0,0.8456,1.390764e-01,1.356066e-01
0.7,0,0.8658,1.397785e-01,1.356066e-01
0.7,0,0.8859,1.405469e-01,1.356066e-01
0.7,0,0.9060,1.413843e-01,1.356066e-01
0.7,0,0.9262,1.422932e-01,1.356066e-01
0.7,0,0.9463,1.432758e-01,1.356066e-01
0.7,0,0.9664,1.443343e-01,1.356066e-01
0.7,0,0.9866,1.454706e-01,1.356066e-01
0.7,0,1.0067,1.466864e-01,1.356066e-01
0.7,0,1.0268,1.479833e-01,1.356066e-01
0.7,0,1.0470,1.493625e-01,1.356066e-01
0.7,0,1.0671,1.508249e-01,1.356066e-01
0.7,0,1.0872,1.523713e-01,1.356066e-01
0.7,0,1.1074,1.540019e-01,1.356066e-01
0.7,0,1.1275,1.557169e-01,1.356066e-01
0.7,0,1.1477,1.575160e-01,1.356066e-01
0.7,0,1.1678,1.593987e-01,1.356066e-01
0.7,0,1.1879,1.613638e-01,1.356066e-01
0.7,0,1.2081,1.634102e-01,1.356066e-01
0.7,0,1.2282,1.655362e-01,1.356066e-01
0.7,0,1.2483,1.677397e-01,1.356066e-01
0.7,0,1.2685,1.700183e-01,1.356066e-01
0.7,0,1.2886,1.723693e-01,1.356066e-01
0.7,0,1.3087,1.747894e-01,1.356066e-01
0.7,0,1.3289,1.772752e-01,1.356066e-01
0.7,0,1.3490,1.798229e-01,1.356066e-01
0.7,0,1.3691,1.824281e-01,1.356066e-01
0.7,0,1.3893,1.850865e-01,1.356066e-01
0.7,0,1.4094,1.877930e-01,1.356066e-01
0.7,0,1.4295,1.905426e-01,1.356066e-01
0.7,0,1.4497,1.933298e-01,1.356066e-01
0.7,0,1.4698,1.961488e-01,1.356066e-01
0.7,0,1.4899,1.989938e-01,1.356066e-01
0.7,0,1.5101,2.018584e-01,1.356066e-01
0.7,0,1.5302,2.047363e-01,1.356066e-01
0.7,0,1.5503,2.076209e-01,1.356066e-01
0.7,0,1.5705,2.105056e-01,1.356066e-01
0.7,0,1.5906,2.133833e-01,1.356066e-01
0.7,0,1.6107,2.162474e-01,1.356066e-01
0.7,0,1.6309,2.190907e-01,1.356066e-01
0.7,0,1.6510,2.219062e-01,1.356066e-01
0.7,0,1.6711,2.246869e-01,1.356066e-01
0.7,0,1.6913,2.274260e-01,1.356066e-01
0.7,0,1.7114,2.301163e-01,1.356066e-01
0.7,0,1.7315,2.327512e-01,1.356066e-01
0.7,0,1.7517,2.353240e-01,1.356066e-01
0.7,0,1.7718,2.378281e-01,1.356066e-01
0.7,0,1.7919,2.402573e-01,1.356066e-01
0.7,0,1.8121,2.426053e-01,1.356066e-01
0.7,0,1.8322,2.448663e-01,1.356066e-01
0.7,0,1.8523,2.470348e-01,1.356066e-01
0.7,0,1.8725,2.491053e-01,1.356066e-01
0.7,0,1.8926,2.510729e-01,1.356066e-01
0.7,0,1.9128,2.529330e-01,1.356066e-01
0.7,0,1.9329,2.546812e-01,1.356066e-01
0.7,0,1.9530,2.563136e-01,1.356066e-01
0.7,0,1.9732,2.578267e-01,1.356066e-01
0.7,0,1.9933,2.592172e-01,1.356066e-01
0.7,0,2.0134,2.604826e-01,1.356066e-01
0.7,0,2.0336,2.616203e-01,1.356066e-01
0.7,0,2.0537,2.626286e-01,1.356066e-01
0.7,0,2.0738,2.635060e-01,1.356066e-01
0.7,0,2.0940,2.642513e-01,1.356066e-01
0.7,0,2.1141,2.648641e-01,1.356066e-01
0.7,0,2.1342,2.653440e-01,1.356066e-01
0.7,0,2.1544,2.656912e-01,1.356066e-01
0.7,0,2.1745,2.659065e-01,1.356066e-01
0.7,0,2.1946,2.659907e-01,1.356066e-01
0.7,0,2.2148,2.659452e-01,1.356066e-01
0.7,0,2.2349,2.657719e-01,1.356066e-01
0.7,0,2.2550,2.654728e-01,1.356066e-01
0.7,0,2.2752,2.650503e-01,1.356066e-01
0.7,0,2.2953,2.645072e-01,1.356066e-01
0.7,0,2.3154,2.638466e-01,1.356066e-01
0.7,0,2.3356,2.630716e-01,1.356066e-01
0.7,0,2.3557,2.621861e-01,1.356066e-01
0.7,0,2.3758,2.611936e-01,1.356066e-01
0.7,0,2.3960,2.600983e-01,1.356066e-01
0.7,0,2.4161,2.589042e-01,1.356066e-01
0.7,0,2.4362,2.576158e-01,1.356066e-01
0.7,0,2.4564,2.562376e-01,1.356066e-01
0.7,0,2.4765,2.547741e-01,1.356066e-01
0.7,0,2.4966,2.532299e-01,1.356066e-01
0.7,0,2.5168,2.516099e-01,1.356066e-01
0.7,0,2.5369,2.499188e-01,1.356066e-01
0.7,0,2.5570,2.481615e-01,1.356066e-01
0.7,0,2.5772,2.463426e-01,1.356066e-01
